Project name,ID,Country,Partners,Project type,Announcement,FID,Opertion,Suspension/decommissioning,Project Status,Project phase,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
Plant Daniel Carbon Capture (MS) ,316,United States,"Southern Company Services, Linde/BASF (FEED, tech provider)",Capture,2019,,2025,,Planned,,1.8,1.8,Power and heat,Dedicated storage,Project ECO2S: Early CO2 Storage Complex in Kemper County (MS),North America
Plock plant,1034,Poland,PKN Orlen,Capture,2023,,2027,,Planned,,1,1,Chemicals,Dedicated storage,ECO2CEE,Europe
Plymouth Energy Merrill biorefinery (IA),317,United States,"Plymouth Energy, Summit Carbon Solutions",Capture,2021,2024,2024,,Planned,,0.13 - 0.16,0.157,Biofuels,Dedicated storage,Midwest carbon express,North America
"POET 17 bioprocessing plants (IA, NE, SD)",318,United States,POET,Capture,2021,,2025,,Planned,,5,5,Biofuels,Dedicated storage,Midwest carbon express,North America
Polaris offshore storage facility,322,Norway,"Horisont Energi, PGNiG Upstream Norway (operator)",Storage,2021,2024,2028,,Planned,,4 - 8,8,Storage,Dedicated storage,Polaris offshore storage facility,Europe
Polk county hub (TX),1021,United States,"1PointFive (Occidental Low carbon Venture), Natural Resource Partners",Storage,2022,,,,Planned,,,,Storage,Dedicated storage,Polk county hub (TX),North America
Polk Power station NGCC/Polk carbon storage complex (FL),552,United States,"Tampa Electric Company, ION Clean Energy, DOE Office of Clean Energy Demonstrations (FEED funding)",Full chain,2022,,,,Planned,,3,3,Power and heat,Dedicated storage,,North America
Port of Aalborg terminal and pipeline to Fyrkat (Norne carbon storage hub),672,Denmark,"Fidelis new energy, Gas Storage Denmark, Capio Danmark (PCI coordinator), KBR (FEED)",Transport,2022,,2026,,Planned,,4,4,Transport,Dedicated storage,Norne carbon storage hub,Europe
Port of Corpus Christi-Mississippi pipeline (TX),799,United States,Howard Midstream Energy Partners LLC,Transport,2023,,,,Planned,,250,250,Transport,Unknown/unspecified,Port of Corpus Christi-Mississippi pipeline,North America
Port of Kalundborg terminal and pipeline to Trelleborg phase 1 (Norne carbon storage hub),673,Denmark,"Fidelis new energy, Gas Storage Denmark, Capio Danmark (PCI coordinator)",Transport,2022,,2026,,Planned,1,4,4,Transport,Dedicated storage,Norne carbon storage hub,Europe
Port of Kalundborg terminal and pipeline to Trelleborg phase 2 (Norne carbon storage hub),674,Denmark,"Fidelis new energy, Gas Storage Denmark, Capio Danmark (PCI coordinator)",Transport,2022,,2030,,Planned,2,8,8,Transport,Dedicated storage,Norne carbon storage hub,Europe
